Roll Year,Jurisdiction,Neigh Code,Neigh Description,Situs Street Address,Situs City,Legal Description,First PID,Property Class,Property SubClass,Previous Roll Value,Actual Value Land Total,Actual Value Impr Total,Actual Value Total,Predominant Manual Class Code,Primary Actual Use Code
2024,Township of Esquimalt,307220,Saxe Point,1101 MUNRO,ESQUIMALT,"DISTRICT LOT 149, ESQUIMALT LAND DISTRICT, DEDICATED PARK, LEASE/PERMIT/LICENCE # 105365",,08,,1034000,1034000,0,1034000,,610 - Parks & Playing Fields
2024,Township of Esquimalt,307220,Saxe Point,1101 MUNRO,ESQUIMALT,"DISTRICT LOT 149, ESQUIMALT LAND DISTRICT, DEDICATED PARK, LEASE/PERMIT/LICENCE # 105365",,08,,1034000,1034000,0,1034000,,610 - Parks & Playing Fields
2024,Township of Esquimalt,307220,Saxe Point,1101 MUNRO,ESQUIMALT,"LOT 7, PLAN VIP6644, SECTION 11, ESQUIMALT LAND DISTRICT, PT OCCUPIED BY ESQUIMALT ANGLERS ASSN",005-861-926,06,,165000,98100,79600,177700,D311 - Clubhouse,"270 - Hall (Community, Lodge, Club, Etc.)"
2024,Township of Esquimalt,307240,North Esquimalt,1148 LUGRIN,ESQUIMALT,"LOT 18, PLAN VIP16084, SECTION 10, ESQUIMALT LAND DISTRICT, PARK RESERVATION (LUGRIN TOT LOT) BYLAW 1920",003-989-551,08,,343000,383000,0,383000,,610 - Parks & Playing Fields
2024,Township of Esquimalt,307210,West Esquimalt,537 HEAD,ESQUIMALT,"LOT 2, PLAN VIP26816, SECTION 11, ESQUIMALT LAND DISTRICT, W BAY WATER FRT",002-437-635,08,,316000,352000,0,352000,,610 - Parks & Playing Fields
2024,Township of Esquimalt,307210,West Esquimalt,1140 LYALL,ESQUIMALT,"LOT 2, PLAN VIP36280, SECTION 11, ESQUIMALT LAND DISTRICT, BULLEN PARK RESERVATION BYLAW NO. 1653 1980",000-396-630,"06, 08",,2746300,2960000,96600,3056600,8005 - Non-Manualized Structures - Comm,610 - Parks & Playing Fields
2024,Township of Esquimalt,307210,West Esquimalt,867 LAMPSON,ESQUIMALT,"LOT 1, PLAN VIP38082, SECTION 10, ESQUIMALT LAND DISTRICT, ESQUIMALT LIONS PARK",001-013-238,08,,2355700,2572000,50400,2622400,0611 - Yard Improvements,610 - Parks & Playing Fields
2024,Township of Esquimalt,307210,West Esquimalt,880 FLEMING,ESQUIMALT,"LOT 1, PLAN EPP78715, SECTION 10, ESQUIMALT LAND DISTRICT",030-353-556,01,0101,2903000,2177000,0,2177000,,051 - Multi-Family (Vacant)
2024,Township of Esquimalt,307210,West Esquimalt,537 HEAD,ESQUIMALT,"LOT 98, BLOCK 8, PLAN VIP195, SECTION 11, ESQUIMALT LAND DISTRICT, (DD 24994)",009-288-872,"06, 08",,656000,724000,8200,732200,C900 - Paving - Asphalt,610 - Parks & Playing Fields
2024,Township of Esquimalt,307210,West Esquimalt,537 HEAD,ESQUIMALT,,009-288-872,"06, 08",,656000,724000,8200,732200,C900 - Paving - Asphalt,610 - Parks & Playing Fields
2024,Township of Esquimalt,307210,West Esquimalt,537 HEAD,ESQUIMALT,,009-288-872,"06, 08",,656000,724000,8200,732200,C900 - Paving - Asphalt,610 - Parks & Playing Fields
2024,Township of Esquimalt,307210,West Esquimalt,537 HEAD,ESQUIMALT,"LOT 98, BLOCK 8, PLAN VIP195, SECTION 11, ESQUIMALT LAND DISTRICT, (DD 24994)",009-288-872,"06, 08",,656000,724000,8200,732200,C900 - Paving - Asphalt,610 - Parks & Playing Fields
2024,Township of Esquimalt,307210,West Esquimalt,537 HEAD,ESQUIMALT,"SECTION 11, ESQUIMALT LAND DISTRICT, THOSE CRTN PCLS OR TRACTS OF LAND &LAND COVERED BY WATERS SITUATED & LYING & BEING PT OF THE FORESHORE & BED OF VICTORIA HARBOUR FRONTING PCL F OF BLK 7&8 LOT98 ASSIGNED BLK 8 PL 195 LOT 10 PL 11515 LOT 2 PL 26816 & RD ADJACENT TO LOT 98, LEASE/PERMIT/LICENCE # W0104603",,"06, 08",,1312000,1150000,167000,1317000,C900 - Paving - Asphalt,610 - Parks & Playing Fields
2024,Township of Esquimalt,307210,West Esquimalt,537 HEAD,ESQUIMALT,"SECTION 11, ESQUIMALT LAND DISTRICT, THOSE CRTN PCLS OR TRACTS OF LAND &LAND COVERED BY WATERS SITUATED & LYING & BEING PT OF THE FORESHORE & BED OF VICTORIA HARBOUR FRONTING PCL F OF BLK 7&8 LOT98 ASSIGNED BLK 8 PL 195 LOT 10 PL 11515 LOT 2 PL 26816 & RD ADJACENT TO LOT 98, LEASE/PERMIT/LICENCE # W0104603",,"06, 08",,1312000,1150000,167000,1317000,C900 - Paving - Asphalt,610 - Parks & Playing Fields
2024,Township of Esquimalt,307210,West Esquimalt,548 GARRETT,ESQUIMALT,"LOT C, PLAN VIP64667, SECTION 11, ESQUIMALT LAND DISTRICT",023-666-919,08,,1001000,1116000,0,1116000,,610 - Parks & Playing Fields
2024,Township of Esquimalt,307250,Esquimalt Waterfront, GLEN VALE,ESQUIMALT,"PLAN VIP72459, SECTION 2, ESQUIMALT LAND DISTRICT, DEDICATED PARK",,08,,631000,703000,0,703000,,610 - Parks & Playing Fields
2024,Township of Esquimalt,307210,West Esquimalt,637 HEAD,ESQUIMALT,"LOT 1, PLAN VIP78592, SECTION 11, ESQUIMALT LAND DISTRICT",026-280-604,06,,27455000,5610000,23900000,29510000,8005 - Non-Manualized Structures - Comm,"650 - Schools & Universities, College Or Technical Schools"
2024,Township of Esquimalt,307210,West Esquimalt,901 OLD ESQUIMALT,ESQUIMALT,"LOT 2, PLAN VIP78592, SECTION 11, ESQUIMALT LAND DISTRICT",026-280-612,06,,2066000,2302000,0,2302000,,"601 - Civic, Institutional & Recreational (Vacant)"
