GISLINK,FOLIO,PID,LEGAL_TYPE,UNIT,HOUSE,STREET,combined,taxyear,assess_abbreviation,assess_type,land_gross,land_net,impr_gross,impr_net,Exemption,ObjectId
5321038,5321038,025-457-926,LAND,,210,ST CHARLES ST,210 ST CHARLES ST,2023,Residential,GENERAL,874000,874000,1016000,1016000,0,79
025-754-149,5335075,025-754-149,STRATA,,1803,HOLLYWOOD CRES,1803 HOLLYWOOD CRES,2023,Residential,GENERAL,1237000,1237000,336000,336000,0,80
V03351065,5335077,028-112-199,LAND,,1845,HOLLYWOOD CRES,1845 HOLLYWOOD CRES,2023,Residential,GENERAL,2676000,2676000,1328000,1328000,0,81
V03591029,6359030,031-057-616,LAND,,931,REDFERN ST,931 REDFERN ST,2023,Residential,GENERAL,990000,990000,0,0,0,82
028-105-338,6378039,028-105-338,STRATA,,1046,AMPHION ST,1046 AMPHION ST,2023,Residential,GENERAL,817000,817000,326000,326000,0,83
028-613-333,7418032,028-613-333,STRATA,301,1615,BAY ST,1615 BAY ST,2023,Residential,GENERAL,482000,482000,110000,110000,0,84
026-268-523,12808016,026-268-523,STRATA,,316,EDWARD ST,316 EDWARD ST,2023,Residential,GENERAL,610000,610000,278000,278000,0,85
026-268-485,12808014,026-268-485,STRATA,,735,MARY ST,735 MARY ST,2023,Residential,GENERAL,610000,610000,329000,329000,0,86
027-082-342,12814045,027-082-342,STRATA,3,527,LANGFORD ST,527 LANGFORD ST,2023,Residential,GENERAL,612000,612000,192000,192000,0,87
027-082-351,12814046,027-082-351,STRATA,2,527,LANGFORD ST,527 LANGFORD ST,2023,Residential,GENERAL,612000,612000,183000,183000,0,88
025-898-167,12828065,025-898-167,STRATA,103,90,REGATTA LANDING,90 REGATTA LANDING,2023,Residential,GENERAL,345000,345000,82200,82200,0,89
025-898-248,12828073,025-898-248,STRATA,111,90,REGATTA LANDING,90 REGATTA LANDING,2023,Residential,GENERAL,455000,455000,132000,132000,0,90
025-898-256,12828074,025-898-256,STRATA,112,90,REGATTA LANDING,90 REGATTA LANDING,2023,Residential,GENERAL,455000,455000,130000,130000,0,91
027-039-307,13081122,027-039-307,STRATA,101,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,538000,538000,122000,122000,0,92
027-039-251,13081117,027-039-251,STRATA,,69,KIMTA RD,69 KIMTA RD,2023,Residential,GENERAL,970000,970000,247000,247000,0,93
027-039-269,13081118,027-039-269,STRATA,,67,KIMTA RD,67 KIMTA RD,2023,Residential,GENERAL,908000,908000,226000,226000,0,94
027-039-412,13081133,027-039-412,STRATA,112,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,773000,773000,161000,161000,0,95
027-039-374,13081129,027-039-374,STRATA,108,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,780000,780000,159000,159000,0,96
027-039-421,13081134,027-039-421,STRATA,113,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,786000,786000,161000,161000,0,97
027-039-471,13081139,027-039-471,STRATA,119,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,629000,629000,115000,115000,0,98
027-039-498,13081141,027-039-498,STRATA,201,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,548000,548000,122000,122000,0,99
027-039-501,13081142,027-039-501,STRATA,202,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,521000,521000,115000,115000,0,100
030-002-362,12818010,030-002-362,STRATA,,409,EDWARD ST,409 EDWARD ST,2023,Residential,GENERAL,724000,724000,418000,418000,0,101
030-002-354,12818009,030-002-354,STRATA,,407,EDWARD ST,407 EDWARD ST,2023,Residential,GENERAL,634000,634000,367000,367000,0,102
025-898-205,12828069,025-898-205,STRATA,107,90,REGATTA LANDING,90 REGATTA LANDING,2023,Residential,GENERAL,454000,454000,128000,128000,0,103
025-898-213,12828070,025-898-213,STRATA,108,90,REGATTA LANDING,90 REGATTA LANDING,2023,Residential,GENERAL,575000,575000,173000,173000,0,104
025-898-175,12828066,025-898-175,STRATA,104,90,REGATTA LANDING,90 REGATTA LANDING,2023,Residential,GENERAL,347000,347000,82200,82200,0,105
025-898-264,12828075,025-898-264,STRATA,1,821,TYEE RD,821 TYEE RD,2023,Residential,GENERAL,553000,553000,141000,141000,0,106
027-039-340,13081126,027-039-340,STRATA,105,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,741000,741000,149000,149000,0,107
027-039-358,13081127,027-039-358,STRATA,106,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,819000,819000,171000,171000,0,108
027-039-391,13081131,027-039-391,STRATA,110,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,1012000,1012000,183000,183000,0,109
027-039-528,13081144,027-039-528,STRATA,204,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,502000,502000,114000,114000,0,110
027-039-561,13081148,027-039-561,STRATA,208,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,794000,794000,159000,159000,0,111
027-039-676,13081159,027-039-676,STRATA,220,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,680000,680000,135000,135000,0,112
027-039-684,13081160,027-039-684,STRATA,301,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,559000,559000,122000,122000,0,113
027-039-617,13081153,027-039-617,STRATA,213,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,800000,800000,161000,161000,0,114
